"Year";"month";"SOI";"P";"Panomaly"
1898;"Feb";6.3;NA;NA
1898;"Mar";19.2;NA;NA
1898;"Apr";11.1;NA;NA
1898;"May";-1.9;NA;NA
1898;"Jun";-2.3;NA;NA
1898;"Jul";6.1;NA;NA
1898;"Aug";2.1;NA;NA
1898;"Sep";3.2;NA;NA
1898;"Oct";-0.7;NA;NA
1898;"Nov";-2.7;NA;NA
1898;"Dec";-0.4;NA;NA
1899;"Jan";13.2;NA;NA
1899;"Feb";9.1;NA;NA
1899;"Mar";13.8;NA;NA
1899;"Apr";4.5;NA;NA
1899;"May";-7.4;NA;NA
1899;"Jun";-10.4;NA;NA
1899;"Jul";-5.6;NA;NA
1899;"Aug";-10.1;NA;NA
1899;"Sep";-1.6;NA;NA
1899;"Oct";6.1;NA;NA
1899;"Nov";15.8;NA;NA
1899;"Dec";-3;NA;NA
1900;"Jan";-7.3;95.5;-5.39
1900;"Feb";-6.5;22.83;-66.23
1900;"Mar";-25.3;53.61;-21.11
1900;"Apr";-18.7;34;-11.59
1900;"May";-7.4;45.75;5.31
1900;"Jun";26.1;36;5.83
1900;"Jul";10;50.18;18
1900;"Aug";7.8;24.95;-3.56
1900;"Sep";-16.6;22.97;-3.26
1900;"Oct";-17.2;11.77;-24.52
1900;"Nov";-6;23.19;-24.12
1900;"Dec";-5.5;32.63;-39.27
1901;"Jan";-0.1;72.51;-28.38
1901;"Feb";3;61.95;-27.11
1901;"Mar";9.4;105.16;30.44
1901;"Apr";4.5;54.66;9.07
1901;"May";-0.3;33.34;-7.1
1901;"Jun";19.6;29.53;-0.64
1901;"Jul";14.6;26.24;-5.94
1901;"Aug";9.8;51.98;23.47
1901;"Sep";-16;25.29;-0.94
1901;"Oct";-22.1;35.91;-0.38
1901;"Nov";-8.6;14.74;-32.57
1901;"Dec";-1.9;19.37;-52.53
1902;"Jan";17;50.17;-50.72
1902;"Feb";-2.2;39.04;-50.02
1902;"Mar";11.6;29.08;-45.64
1902;"Apr";7.8;8.18;-37.41
1902;"May";7.6;4.96;-35.48
1902;"Jun";2.6;15.96;-14.21
1902;"Jul";1.6;10.86;-21.32
1902;"Aug";-8.9;16.96;-11.55
1902;"Sep";-17.8;15.53;-10.7
1902;"Oct";-7.4;22.93;-13.36
1902;"Nov";-3.4;32.23;-15.08
1902;"Dec";-3;84.59;12.69
1903;"Jan";-9.2;80.06;-20.83
1903;"Feb";-10.2;40.43;-48.63
1903;"Mar";17.6;121.74;47.02
1903;"Apr";17.7;61.24;15.65
1903;"May";7.6;51.98;11.54
1903;"Jun";-0.6;25.11;-5.06
1903;"Jul";6.1;42.81;10.63
1903;"Aug";0.1;25.36;-3.15
1903;"Sep";8.7;57.72;31.49
1903;"Oct";4.2;38.34;2.05
1903;"Nov";1.3;62.27;14.96
1903;"Dec";15.9;120.52;48.62
1904;"Jan";14.1;87.1;-13.79
1904;"Feb";16.2;92.11;3.05
1904;"Mar";9.4;72.66;-2.06
1904;"Apr";31.7;56.14;10.55
