"time"	"median"	"lower"	"upper"	"component"
1852	-0.6358425	-1.6181685	0.08410957	"HCI1"
1853	-0.947207	-2.01561	-0.16284685	"HCI1"
1854	0.543307	0.11909875	0.8973558	"HCI1"
1855	3.050375	2.83058	3.2954315	"HCI1"
1856	-0.23575	-0.8785135	0.30308845	"HCI1"
1857	-1.07916	-2.077786	-0.2711652	"HCI1"
1858	-0.642824	-1.618537	0.0711197649999997	"HCI1"
1859	-0.09580195	-0.68984085	0.39238715	"HCI1"
1860	-0.556531	-1.43631	0.0648232899999997	"HCI1"
1861	-0.81214	-1.9945825	-0.0627013700000002	"HCI1"
1862	-1.06926	-2.2514695	-0.260666900000001	"HCI1"
1863	-1.23872	-2.44152	-0.2892677	"HCI1"
1864	-0.3394055	-1.026452	0.24332745	"HCI1"
1865	-0.3948935	-1.1817505	0.21041295	"HCI1"
1866	2.37176	2.1881905	2.5689585	"HCI1"
1867	-1.05362	-2.1875075	-0.22795075	"HCI1"
1868	0.6661275	0.2885238	0.9681061	"HCI1"
1869	-1.040145	-2.118463	-0.22417765	"HCI1"
1870	-0.5047465	-1.2991745	0.117379	"HCI1"
1871	0.4419455	-0.00414581749999999	0.80829245	"HCI1"
1872	1.32069	1.099031	1.5411945	"HCI1"
1873	-0.914957	-2.0756585	-0.1245467	"HCI1"
1874	0.7936775	0.4632421	1.0939365	"HCI1"
1875	0.923513	0.63076865	1.193327	"HCI1"
1876	-0.5948075	-1.46826	0.0764060349999999	"HCI1"
1877	-1.07835	-2.0473785	-0.2488715	"HCI1"
1878	0.5025325	0.1038976	0.83521965	"HCI1"
1879	-0.48422	-1.484829	0.10644815	"HCI1"
1880	-0.5731495	-1.400904	0.1198173	"HCI1"
1881	-0.540578	-1.318552	0.1402739	"HCI1"
1882	0.7395225	0.41720945	1.040267	"HCI1"
1883	-1.13364	-2.3600055	-0.1990659	"HCI1"
1884	-0.322816	-1.049504	0.2476429	"HCI1"
1885	-0.7469	-1.7701595	-0.0032659165000001	"HCI1"
1886	-0.2351205	-0.92408865	0.3060521	"HCI1"
1887	-1.10521	-2.390153	-0.25535575	"HCI1"
1888	-0.670561	-1.6207465	0.0364875999999999	"HCI1"
1889	-0.505939	-1.3671575	0.11835415	"HCI1"
1890	0.07345555	-0.5307822	0.52354135	"HCI1"
1891	0.02594605	-0.6543302	0.4720096	"HCI1"
1892	-0.4852075	-1.3575	0.1389581	"HCI1"
1893	0.753654	0.39521015	1.040797	"HCI1"
1894	0.13321	-0.39270005	0.5858524	"HCI1"
1895	0.6567825	0.3078202	0.9663822	"HCI1"
1896	1.767415	1.566809	1.9592125	"HCI1"
1897	-1.026455	-2.09597	-0.15096635	"HCI1"
1898	-0.639412	-1.5075475	0.069332615	"HCI1"
1899	-0.733824	-1.525683	-0.0532557100000001	"HCI1"
1900	0.31593	-0.14438615	0.7134705	"HCI1"
1901	-0.6039055	-1.604361	0.1012024	"HCI1"
1902	-1.21061	-2.2563635	-0.27400415	"HCI1"
1903	1.275495	1.0440465	1.5185065	"HCI1"
1904	-0.771268	-1.699999	-0.0477698200000001	"HCI1"
1905	-0.2907655	-0.96594615	0.2408013	"HCI1"
1906	-0.4414255	-1.1891965	0.1669155	"HCI1"
1907	1.571095	1.374329	1.7683365	"HCI1"
1908	-1.240985	-2.738963	-0.3729057	"HCI1"
1909	1.744025	1.54783	1.951456	"HCI1"
1910	1.559405	1.357752	1.7616795	"HCI1"
1911	0.9633015	0.68780485	1.229203	"HCI1"
1912	1.149745	0.88543225	1.397676	"HCI1"
1913	-0.6412885	-1.417143	0.08115096	"HCI1"
1914	-1.104075	-2.4647775	-0.26660725	"HCI1"
1915	-1.141625	-2.4042215	-0.30066755	"HCI1"
1916	-0.973459	-2.151337	-0.2405996	"HCI1"
1917	-0.707533	-1.659371	-0.0260559400000004	"HCI1"
1918	0.998971	0.7163841	1.2687455	"HCI1"
1919	0.5197765	0.12356295	0.8706318	"HCI1"
1920	0.198797	-0.36808745	0.63113395	"HCI1"
1921	-0.790314	-1.743371	-0.0970117450000001	"HCI1"
1922	1.357575	1.119884	1.561255	"HCI1"
1923	0.3453105	-0.07311752	0.71790605	"HCI1"
1924	-0.616125	-1.483638	-0.033920875	"HCI1"
1925	0.7310525	0.38265145	1.0066375	"HCI1"
1926	0.9489375	0.6565958	1.2447665	"HCI1"
1927	0.931059	0.60807355	1.199134	"HCI1"
1928	0.0593009	-0.51003245	0.53389855	"HCI1"
1929	0.340625	-0.1679665	0.72852555	"HCI1"
1930	0.1315605	-0.4388995	0.58422115	"HCI1"
1931	-0.782008	-1.696817	-0.0323592350000001	"HCI1"
1932	-0.5976395	-1.321084	0.036619235	"HCI1"
1933	-0.4580495	-1.1640445	0.1119328	"HCI1"
1934	-0.385703	-1.359651	0.2732397	"HCI1"
1935	1.43133	1.2304545	1.647137	"HCI1"
1936	-0.230985	-0.963895	0.3256292	"HCI1"
1937	-0.438913	-1.13566	0.12420865	"HCI1"
1938	-0.614042	-1.531589	0.0944448199999997	"HCI1"
1939	1.09438	0.81880805	1.364532	"HCI1"
1940	0.330729	-0.16371095	0.74052865	"HCI1"
1941	-0.766489	-1.593989	-0.0491374550000001	"HCI1"
1942	-0.9184575	-1.7962915	-0.1435538	"HCI1"
1943	-0.8905785	-1.742031	-0.17511915	"HCI1"
1944	1.51742	1.3005205	1.750523	"HCI1"
1945	-0.580037	-1.314582	0.0476372149999998	"HCI1"
1946	-1.16652	-2.015843	-0.50531315	"HCI1"
1947	0.0637756	-0.511835	0.5509645	"HCI1"
1948	-2.796655	-3.4992995	-2.201187	"HCI1"
1949	-0.983561	-1.6294245	-0.43142025	"HCI1"
1950	-0.1783865	-0.8118696	0.3341597	"HCI1"
1951	0.752434	0.4180322	1.037964	"HCI1"
1952	0.7185945	0.34001655	1.0503425	"HCI1"
1953	-0.8726635	-1.4486875	-0.32797355	"HCI1"
1954	1.563705	1.333868	1.779003	"HCI1"
1955	-0.6102475	-1.249017	-0.11090475	"HCI1"
1956	0.9980425	0.6900867	1.288757	"HCI1"
1957	0.471159	0.087259045	0.8102427	"HCI1"
1958	0.5819345	0.24817495	0.91269055	"HCI1"
