"ID";"River_station";"CatchmentArea_km2";"XLambert.II";"YLambert.II";"Elevation";"first_data";"last_data";"Lat";"Lon";"HER_Original";"XG";"YG";"HER_Clustered";"S";"P10";"DD";"Zmean";"name2"
"J8602410";"LAff à Paimpont [Pont Du Secret]";30.2;265728;2341008;64;1968;2010;47.98257048;-2.14329534;12;265067.5625;2345148.5;12;37;49.17;881.86487;153.16216;"L'Aff à Paimpont "
"K0403010";"Le Lignon du Velay au Chambon-sur-Lignon";139;754765;2008282;930;1960;2010;45.05776414;4.30092264;3;750072.5;2002413;3;138.00008;95.33797;1055.10144;1152.32605;"Le Lignon du Velay au Chambon-sur-Lignon"
"K0454010";"LA DUNIERES à SAINTE-SIGOLENE [VAUBARLET]";228;747547;2025563;584;1947;2010;45.21475378;4.21458125;3;758019.9375;2025495.375;3;227.00003;83.50216;1092.96912;940.72687;"La Dunières à Sainte-Sigolène "
"K0523010";"L'ANCE DU NORD à SAINT-JULIEN-D'ANCE [LAPRAT]";354;725670;2035417;692;1948;2009;45.30773136;3.93876237;3;722285.375;2048432.5;3;354.00003;70.11828;883.70624;997.79944;"L'Ance du Nord à Saint-Julien-d'Ance "
"K0567520";"La Semène à Saint-Didier-en-Velay [Le Crouzet]";134;750120;2036618;720;1963;2010;45.31361485;4.2507435;3;758789;2035152.125;3;135.00002;79.21207;1062.31848;930.83704;"La Semène à Saint-Didier-en-Velay "
"K1284810";"La Selle à la Celle-en-Morvan [Polroy]";138;741420;2224470;322;1969;2010;47.00504631;4.19650247;21;734521.875;2229717.5;13;138.00008;66.75391;984.48553;547.2536;"La Selle à la Celle-en-Morvan "
"K1341810";"L'Arroux a Rigny-sur-Arroux";2277;730234;2171909;237;1967;2008;46.53457638;4.03450552;-9999;-9999;-9999;13;-9999;-9999;-9999;-9999;"L'Arroux à Rigny-sur-Arroux"
"K1383010";"La Bourbince à Vitry-en-Charollais";819;733636;2165449;237;1967;2010;46.47580133;4.07698192;21;749204.3125;2181743.5;13;832.00055;57.63517;1058.7644;316.53726;"La Bourbince à Vitry-en-Charollais"
"K1724210";"La Dragne à Vandenesse";115;708703;2213318;210;1968;2010;46.91089339;3.76365216;21;718455.3125;2218044.75;13;112.00004;60.73768;1021.23212;407.99106;"La Dragne à Vandenesse"
"K2363010";"La Senouire à Paulhaguet";155;693213;2022590;538;1961;2009;45.19753697;3.52256452;3;701941;2029108.875;3;160.99997;66.18155;936.08075;947.12421;"La Senouire à Paulhaguet "
"K2514010";"L'ALLANCHE à JOURSAC [PONT DU VERNET]";157;652750;2015095;746;1965;2010;45.1344154;3.00694873;3;640802.0625;2011661.125;3;148.99992;88.00799;1035.16772;1120.46985;"L'Allanche à Joursac "
"K2523010";"L'ALAGNON à JOURSAC [JOURSAC-LE-VIALARD]";310;654484;2018233;870;1948;2010;45.16250691;3.02933602;3;643377.6875;2018601.5;3;334.99976;78.2014;978.22986;1117.31641;"L'Alagnon à Joursac "
"K2593010";"LAlagnon à Lempdes";984;672702;2042859;450;1967;2010;45.38233689;3.26465992;3;655303.625;2024924.375;3;997.00006;71.31564;1036.5426;973.58173;"L'Alagnon à Lempdes"
"K2644010";"LAilloux à Manglieu [Moulin de Lavaur]";73.2;679671;2069679;437;1967;2010;45.62282177;3.35806284;3;683678.0625;2067938.375;3;73.00005;65.88699;1324.05481;598.24658;"L'Ailloux à Manglieu "
"K3264010";"La Saunade à Pontaumur";112;626203;2096769;536;1967;2010;45.8706894;2.67401953;21;615863.6875;2099987.75;13;121.00008;56.59835;554.43799;690.19836;"La Saunade à Pontaumur"
"K3374710";"Le Boublon Lagées à Fourilles";71.4;666449;2138525;255;1967;2010;46.24359738;3.19821887;21;658916.6875;2133667;13;72;61.64514;953.55554;372.40277;"Le Boublon Lagées à Fourilles"
"K4443010";"L'Ardoux a Lailly-en-Val";155;548950;2305560;78;1966;2008;47.74750645;1.65575842;-9999;-9999;-9999;9;-9999;-9999;-9999;-9999;"L'Ardoux à Lailly-en-Val"
"K5183010";"La Tardes a Evaux-les-Bains";854;608370;2131589;334;1944;2007;46.18441496;2.44495969;-9999;-9999;-9999;13;-9999;-9999;-9999;-9999;"La Tardes à Évaux-les-Bains"
"K5200910";"LE CHER à TEILLET-ARGENTY";1600;625500;2138050;267;1948;2008;46.24211514;2.66719761;21;607073.4375;2121759.5;13;1519.00085;59.80047;982.13232;524.87622;"Le Cher à Teillet-Argenty"
