value;iVar;itime;ispaceP;ispaceQ;ispaceT
0.2;2;60;0;2;0
0;2;61;0;2;0
0.32967032967033;2;62;0;2;0
0.233333333333333;2;63;0;2;0
0.211111111111111;2;64;0;2;0
0.966666666666667;2;65;0;2;0
0;2;66;0;2;0
0.088888888888889;2;67;0;2;0
0;2;68;0;2;0
0;2;69;0;2;0
0.175824175824176;2;70;0;2;0
0;2;71;0;2;0
0;2;72;0;2;0
0.177777777777778;2;73;0;2;0
0;2;74;0;2;0
0;2;75;0;2;0
0;2;76;0;2;0
0;2;77;0;2;0
0;2;78;0;2;0
0;2;79;0;2;0
0.711111111111111;2;80;0;2;0
0;2;81;0;2;0
0;2;82;0;2;0
0;2;83;0;2;0
0.088888888888889;2;84;0;2;0
0.688888888888889;2;85;0;2;0
0;2;86;0;2;0
0;2;87;0;2;0
0.088888888888889;2;88;0;2;0
0.977777777777778;2;89;0;2;0
0;2;90;0;2;0
0.311111111111111;2;91;0;2;0
0.388888888888889;2;92;0;2;0
0;2;93;0;2;0
0;2;94;0;2;0
0;2;95;0;2;0
0.411111111111111;2;96;0;2;0
0.055555555555556;2;97;0;2;0
0.054945054945055;2;98;0;2;0
0.2;2;99;0;2;0
0.166666666666667;2;100;0;2;0
0;2;47;0;3;0
0.111111111111111;2;48;0;3;0
0;2;49;0;3;0
0.835164835164835;2;50;0;3;0
0.311111111111111;2;51;0;3;0
0;2;52;0;3;0
0;2;53;0;3;0
0;2;54;0;3;0
0.377777777777778;2;55;0;3;0
0;2;56;0;3;0
0;2;57;0;3;0
0;2;58;0;3;0
0;2;59;0;3;0
0.122222222222222;2;60;0;3;0
0;2;61;0;3;0
0.406593406593407;2;62;0;3;0
0.266666666666667;2;63;0;3;0
0.244444444444444;2;64;0;3;0
0.988888888888889;2;65;0;3;0
0;2;66;0;3;0
0;2;67;0;3;0
0;2;68;0;3;0
0.088888888888889;2;69;0;3;0
0.362637362637363;2;70;0;3;0
0;2;71;0;3;0
0;2;72;0;3;0
0;2;73;0;3;0
0;2;74;0;3;0
0;2;75;0;3;0
0;2;76;0;3;0
0.022222222222222;2;77;0;3;0
0;2;78;0;3;0
0.022222222222222;2;79;0;3;0
0.922222222222222;2;80;0;3;0
0.055555555555556;2;81;0;3;0
0.164835164835165;2;82;0;3;0
0;2;83;0;3;0
0.333333333333333;2;84;0;3;0
0.911111111111111;2;85;0;3;0
0.087912087912088;2;86;0;3;0
0;2;87;0;3;0
0.322222222222222;2;88;0;3;0
0.822222222222222;2;89;0;3;0
0.120879120879121;2;90;0;3;0
0.666666666666667;2;91;0;3;0
0.844444444444444;2;92;0;3;0
0;2;93;0;3;0
0;2;94;0;3;0
0.077777777777778;2;95;0;3;0
0.555555555555556;2;96;0;3;0
0.011111111111111;2;97;0;3;0
0.307692307692308;2;98;0;3;0
0.244444444444444;2;99;0;3;0
0.366666666666667;2;100;0;3;0
0;2;49;0;4;0
0.098901098901099;2;50;0;4;0
0.433333333333333;2;51;0;4;0
0;2;52;0;4;0
0;2;53;0;4;0
0;2;54;0;4;0
0.155555555555556;2;55;0;4;0
0;2;56;0;4;0
0;2;57;0;4;0
0;2;58;0;4;0
0;2;59;0;4;0
0;2;60;0;4;0
0;2;61;0;4;0
0.076923076923077;2;62;0;4;0
0.422222222222222;2;63;0;4;0
0;2;64;0;4;0
0.888888888888889;2;65;0;4;0
0;2;66;0;4;0
0;2;67;0;4;0
0;2;68;0;4;0
0;2;69;0;4;0
0.076923076923077;2;70;0;4;0
0;2;71;0;4;0
0;2;72;0;4;0
0;2;73;0;4;0
0;2;74;0;4;0
0;2;75;0;4;0
0;2;76;0;4;0
0.133333333333333;2;77;0;4;0
0;2;78;0;4;0
0;2;79;0;4;0
0.366666666666667;2;80;0;4;0
0;2;81;0;4;0
0;2;82;0;4;0
0;2;83;0;4;0
0.288888888888889;2;84;0;4;0
0.955555555555556;2;85;0;4;0
0.538461538461538;2;86;0;4;0
0.811111111111111;2;87;0;4;0
0.344444444444444;2;88;0;4;0
0.777777777777778;2;89;0;4;0
0;2;90;0;4;0
0.722222222222222;2;91;0;4;0
0.722222222222222;2;92;0;4;0
0;2;93;0;4;0
0;2;94;0;4;0
0;2;95;0;4;0
0.055555555555556;2;96;0;4;0
0;2;97;0;4;0
0;2;98;0;4;0
0.055555555555556;2;99;0;4;0
0.222222222222222;2;100;0;4;0
0;2;33;0;5;0
0;2;34;0;5;0
0;2;35;0;5;0
0;2;36;0;5;0
0;2;37;0;5;0
0;2;38;0;5;0
0;2;39;0;5;0
0.388888888888889;2;40;0;5;0
0;2;41;0;5;0
0;2;42;0;5;0
0;2;43;0;5;0
0;2;44;0;5;0
0;2;45;0;5;0
0;2;46;0;5;0
0.144444444444444;2;47;0;5;0
0.155555555555556;2;48;0;5;0
0;2;49;0;5;0
0.879120879120879;2;50;0;5;0
0.622222222222222;2;51;0;5;0
0;2;52;0;5;0
0;2;53;0;5;0
0;2;54;0;5;0
0.566666666666667;2;55;0;5;0
0;2;56;0;5;0
0;2;57;0;5;0
0;2;58;0;5;0
0;2;59;0;5;0
0.722222222222222;2;60;0;5;0
