"site" "x" "y" "M1" "M2" "M3" "M4" "M5" "M6" "M7" "M8" "M9" "M10" "M11" "M12"
"304497" 146.41961 -42.03125 0.0280854680166917 0.01542296192559 0.0133370949056279 0.0467223872997737 0.0949666466116868 0.101779025215969 0.138336927615438 0.168271585647444 0.158081416775771 0.120106341086352 0.0664262193923619 0.0484639255072942
"304499" 146.71055 -42.70695 0.0384844112779814 0.0279356743985807 0.029763785709539 0.0556779545433121 0.0848562240261936 0.092532169063407 0.125440525601117 0.147485127560488 0.141946018336976 0.12181481532795 0.0756639908001216 0.0583993033543339
"305202" 147.23674 -43.07076 0.0453991853391952 0.0353903828559884 0.0338535927978956 0.0589669865624972 0.0528645317439893 0.0958607629805944 0.125693482729211 0.169233199289352 0.125183921077385 0.0944151011575935 0.0798583003624378 0.0832805531038615
"307473" 145.95 -43.14125 0.0432118670779798 0.0346247449702594 0.0459959227063726 0.0829062183806169 0.108838356456642 0.0994097834230476 0.120144811646007 0.125715872691402 0.115788184076373 0.0934460594800723 0.0672956987972832 0.0626224802939441
"308145" 145.76764 -42.24125 0.0400900382418629 0.0285165983523708 0.0372157419249103 0.0772105384916358 0.103864331776477 0.104657223248915 0.121739133041524 0.130875920945455 0.121983951632281 0.0984046860805021 0.0734126751990755 0.0620291610649919
"308799" 145.92875 -42.16375 0.0413365144032973 0.0282705347493623 0.0368711790885303 0.0679314466682619 0.0942334811603255 0.103991908884729 0.119407072015338 0.142560415515494 0.129064325824686 0.113290698880944 0.067324784304365 0.0557176385046659
"312061" 145.67044 -41.41875 0.0276970996771697 0.0191007474017956 0.0173805915674915 0.0479582899030065 0.0996105744736708 0.126147446125532 0.154127610740797 0.170025104111295 0.129018492853011 0.0961701019840842 0.0659440230623093 0.0468199180998377
"314207" 146.09003 -41.25125 0.0295354819824373 0.0204202174009426 0.0214370087529644 0.0459978089475242 0.0872403496665059 0.11401186937607 0.166446251621807 0.179694405958585 0.139331686716811 0.0924363176784549 0.0596942886876718 0.0437543132102254
"314213" 145.29754 -40.87254 0.020896607917644 0.0119246546947276 0.0118835677372465 0.0292554387955606 0.0736181504926018 0.113746024813843 0.178063366399183 0.209795899441844 0.152060924067478 0.103768162119746 0.0590338350801311 0.0359533684399948
"315450" 146.13125 -41.6117 0.03262704640208 0.020911040469039 0.027000913979255 0.0613074279922742 0.0998142554545389 0.103913226192068 0.140592910667998 0.156926296090576 0.139239215480557 0.101622310117145 0.0642391408892142 0.0518062162652538
"318076" 147.38434 -41.49375 0.0333787666129144 0.0245933731938811 0.0231311121933006 0.0386372023265679 0.0697722441802158 0.105118058015852 0.144057536668756 0.192388999312277 0.152567149247246 0.104729872552394 0.0641767320772818 0.047448953619313
"401009" 148.1009 -35.9266 0.0280127302025313 0.0224312569884091 0.0213722530606335 0.0246232922520249 0.0400898520724327 0.0772489359953448 0.127310095627174 0.17532591954366 0.170568252064765 0.160622497101608 0.0929422819379727 0.0594526331534444
